combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size,threshold,val_acc,val_f1,status,timestamp
9911,16,16,4,1.5,0.01,0.005,2,256,256,0.6700000000000004,0.8431071538225361,0.7068273092369478,success,2025-12-05 11:45:41
43386,16,32,5,1.5,0.0005,0.025,1,1024,64,0.7000000000000004,0.8612219834203254,0.7206427688504327,success,2025-12-05 11:45:59
13822,16,16,5,1.3,0.0001,0.015,1,1024,128,0.6300000000000003,0.8495548050353086,0.7196796338672768,success,2025-12-05 11:46:13
44810,16,32,5,1.8,0.01,0.005,4,1024,256,0.6200000000000003,0.8474055879643844,0.7168091168091169,success,2025-12-05 11:46:24
18495,16,16,6,1.2,0.0005,0.01,1,256,64,0.6600000000000004,0.8492477740251766,0.711006474396704,success,2025-12-05 11:46:54
25555,16,16,7,1.3,0.001,0.015,5,512,128,0.6800000000000004,0.8523180841264968,0.7162241887905605,success,2025-12-05 11:47:09
13316,16,16,5,1.2,0.01,0.005,5,512,256,0.6600000000000004,0.8569235492784771,0.7155067155067155,success,2025-12-05 11:47:21
12929,16,16,5,1.2,0.0005,0.015,2,512,256,0.5800000000000003,0.8563094872582131,0.727906976744186,success,2025-12-05 11:47:35
28374,16,32,3,1.0,0.0001,0.005,3,1024,64,0.7600000000000005,0.8627571384709856,0.7151051625239006,success,2025-12-05 11:47:44
30423,16,32,3,1.3,0.0,0.01,1,512,64,0.7100000000000004,0.8606079214000614,0.7169576059850374,success,2025-12-05 11:50:42
19495,16,16,6,1.3,0.0001,0.02,2,256,128,0.7300000000000004,0.8621430764507215,0.7160025300442757,success,2025-12-05 11:51:16
7615,16,16,4,1.2,0.001,0.025,2,256,128,0.5700000000000003,0.8590727663494013,0.7279193835210432,success,2025-12-05 11:51:40
17515,16,16,6,1.0,0.0005,0.025,2,256,128,0.6000000000000003,0.8440282468529321,0.7149270482603816,success,2025-12-05 11:52:06
30443,16,32,3,1.3,0.0,0.01,3,512,256,0.6900000000000004,0.8603008903899294,0.7179169249845009,success,2025-12-05 11:52:14
30602,16,32,3,1.3,0.0001,0.005,1,256,256,0.6600000000000004,0.8529321461467608,0.715727002967359,success,2025-12-05 11:52:29
1388,16,16,3,1.2,0.0001,0.005,5,256,256,0.6000000000000003,0.8517040221062327,0.7206477732793523,success,2025-12-05 11:52:44
37633,16,32,4,1.5,0.0005,0.01,2,512,128,0.6100000000000003,0.8596868283696654,0.724200362100181,success,2025-12-05 11:53:04
21716,16,16,6,1.8,0.0001,0.015,3,1024,256,0.6300000000000003,0.856002456248081,0.7127985303123087,success,2025-12-05 11:53:24
33138,16,32,3,1.8,0.0005,0.01,3,256,64,0.6800000000000004,0.8621430764507215,0.7202492211838006,success,2025-12-05 11:53:50
10852,16,16,4,1.8,0.001,0.01,1,1024,128,0.6500000000000004,0.8575376112987412,0.7270588235294118,success,2025-12-05 11:54:05
