combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size,threshold,val_acc,val_f1,status,timestamp
421207,64,48,7,1.8,0.0005,0.005,1,1024,128,0.6600000000000004,0.8409579367516119,0.6909307875894988,success,2025-12-05 13:10:09
449959,64,64,7,1.8,0.01,0.025,1,512,128,0.6000000000000003,0.8584587043291373,0.7159581022797289,success,2025-12-05 13:12:06
447192,64,64,7,1.3,0.0005,0.015,4,256,64,0.6500000000000004,0.8480196499846484,0.7140381282495667,success,2025-12-05 13:15:02
409193,64,48,5,1.5,0.001,0.02,1,1024,256,0.6700000000000004,0.8578446423088733,0.7255483106105513,success,2025-12-05 13:15:46
429676,64,64,4,1.2,0.01,0.02,2,1024,128,0.6800000000000004,0.8486337120049124,0.7145338737695426,success,2025-12-05 13:16:11
435086,64,64,5,1.2,0.001,0.02,3,1024,256,0.6900000000000004,0.8621430764507215,0.7280436099333737,success,2025-12-05 13:16:54
411736,64,48,6,1.0,0.01,0.025,4,512,128,0.7500000000000004,0.8593797973595333,0.7148194271481942,success,2025-12-05 13:17:35
415520,64,48,6,1.8,0.0001,0.02,4,1024,256,0.6100000000000003,0.8541602701872889,0.7157390783961699,success,2025-12-05 13:18:23
412707,64,48,6,1.2,0.01,0.01,2,512,64,0.6500000000000004,0.8606079214000614,0.7126582278481013,success,2025-12-05 13:20:14
436167,64,64,5,1.3,0.001,0.015,4,256,64,0.7100000000000004,0.8599938593797973,0.71712158808933,success,2025-12-05 13:22:45
441149,64,64,6,1.3,0.0,0.02,2,512,256,0.5900000000000003,0.8501688670555726,0.7162790697674418,success,2025-12-05 13:24:07
409518,64,48,5,1.8,0.0,0.005,3,256,64,0.6800000000000004,0.8587657353392693,0.7205346294046172,success,2025-12-05 13:27:20
415500,64,48,6,1.8,0.0001,0.02,2,1024,64,0.6100000000000003,0.8391157506908198,0.6949941792782305,success,2025-12-05 13:28:22
417570,64,48,7,1.2,0.0,0.025,2,1024,64,0.6300000000000003,0.8599938593797973,0.7139272271016311,success,2025-12-05 13:29:22
438223,64,64,5,1.8,0.0005,0.02,2,512,128,0.5800000000000003,0.8529321461467608,0.7213496218731821,success,2025-12-05 13:30:50
445307,64,64,7,1.0,0.01,0.005,4,512,256,0.7100000000000004,0.8645993245317777,0.7127035830618893,success,2025-12-05 13:31:57
430047,64,64,4,1.3,0.0001,0.01,4,256,64,0.6800000000000004,0.8624501074608536,0.7182389937106918,success,2025-12-05 13:32:54
414351,64,48,6,1.5,0.0001,0.015,5,256,64,0.6500000000000004,0.8584587043291373,0.7187309334960341,success,2025-12-05 13:34:57
439390,64,64,6,1.0,0.0005,0.025,2,256,128,0.7100000000000004,0.856002456248081,0.7166163141993958,success,2025-12-05 13:36:51
409538,64,48,5,1.8,0.0,0.005,5,256,256,0.6400000000000003,0.842800122812404,0.7136465324384788,success,2025-12-05 13:39:04
408863,64,48,5,1.5,0.0005,0.005,5,256,256,0.6600000000000004,0.8535462081670249,0.7179183914843288,success,2025-12-05 13:40:53
