combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
315000,48,64,4,1.0,0.0,0.005,1,256,64
315001,48,64,4,1.0,0.0,0.005,1,256,128
315002,48,64,4,1.0,0.0,0.005,1,256,256
315003,48,64,4,1.0,0.0,0.005,1,512,64
315004,48,64,4,1.0,0.0,0.005,1,512,128
315005,48,64,4,1.0,0.0,0.005,1,512,256
315006,48,64,4,1.0,0.0,0.005,1,1024,64
315007,48,64,4,1.0,0.0,0.005,1,1024,128
315008,48,64,4,1.0,0.0,0.005,1,1024,256
315009,48,64,4,1.0,0.0,0.005,2,256,64
315010,48,64,4,1.0,0.0,0.005,2,256,128
315011,48,64,4,1.0,0.0,0.005,2,256,256
315012,48,64,4,1.0,0.0,0.005,2,512,64
315013,48,64,4,1.0,0.0,0.005,2,512,128
315014,48,64,4,1.0,0.0,0.005,2,512,256
315015,48,64,4,1.0,0.0,0.005,2,1024,64
315016,48,64,4,1.0,0.0,0.005,2,1024,128
315017,48,64,4,1.0,0.0,0.005,2,1024,256
315018,48,64,4,1.0,0.0,0.005,3,256,64
315019,48,64,4,1.0,0.0,0.005,3,256,128
315020,48,64,4,1.0,0.0,0.005,3,256,256
315021,48,64,4,1.0,0.0,0.005,3,512,64
315022,48,64,4,1.0,0.0,0.005,3,512,128
315023,48,64,4,1.0,0.0,0.005,3,512,256
315024,48,64,4,1.0,0.0,0.005,3,1024,64
315025,48,64,4,1.0,0.0,0.005,3,1024,128
315026,48,64,4,1.0,0.0,0.005,3,1024,256
315027,48,64,4,1.0,0.0,0.005,4,256,64
315028,48,64,4,1.0,0.0,0.005,4,256,128
315029,48,64,4,1.0,0.0,0.005,4,256,256
315030,48,64,4,1.0,0.0,0.005,4,512,64
315031,48,64,4,1.0,0.0,0.005,4,512,128
315032,48,64,4,1.0,0.0,0.005,4,512,256
315033,48,64,4,1.0,0.0,0.005,4,1024,64
315034,48,64,4,1.0,0.0,0.005,4,1024,128
315035,48,64,4,1.0,0.0,0.005,4,1024,256
315036,48,64,4,1.0,0.0,0.005,5,256,64
315037,48,64,4,1.0,0.0,0.005,5,256,128
315038,48,64,4,1.0,0.0,0.005,5,256,256
315039,48,64,4,1.0,0.0,0.005,5,512,64
315040,48,64,4,1.0,0.0,0.005,5,512,128
315041,48,64,4,1.0,0.0,0.005,5,512,256
315042,48,64,4,1.0,0.0,0.005,5,1024,64
315043,48,64,4,1.0,0.0,0.005,5,1024,128
315044,48,64,4,1.0,0.0,0.005,5,1024,256
315045,48,64,4,1.0,0.0,0.01,1,256,64
315046,48,64,4,1.0,0.0,0.01,1,256,128
315047,48,64,4,1.0,0.0,0.01,1,256,256
315048,48,64,4,1.0,0.0,0.01,1,512,64
315049,48,64,4,1.0,0.0,0.01,1,512,128
315050,48,64,4,1.0,0.0,0.01,1,512,256
315051,48,64,4,1.0,0.0,0.01,1,1024,64
315052,48,64,4,1.0,0.0,0.01,1,1024,128
315053,48,64,4,1.0,0.0,0.01,1,1024,256
315054,48,64,4,1.0,0.0,0.01,2,256,64
315055,48,64,4,1.0,0.0,0.01,2,256,128
315056,48,64,4,1.0,0.0,0.01,2,256,256
315057,48,64,4,1.0,0.0,0.01,2,512,64
315058,48,64,4,1.0,0.0,0.01,2,512,128
315059,48,64,4,1.0,0.0,0.01,2,512,256
315060,48,64,4,1.0,0.0,0.01,2,1024,64
315061,48,64,4,1.0,0.0,0.01,2,1024,128
315062,48,64,4,1.0,0.0,0.01,2,1024,256
315063,48,64,4,1.0,0.0,0.01,3,256,64
315064,48,64,4,1.0,0.0,0.01,3,256,128
315065,48,64,4,1.0,0.0,0.01,3,256,256
315066,48,64,4,1.0,0.0,0.01,3,512,64
315067,48,64,4,1.0,0.0,0.01,3,512,128
315068,48,64,4,1.0,0.0,0.01,3,512,256
315069,48,64,4,1.0,0.0,0.01,3,1024,64
315070,48,64,4,1.0,0.0,0.01,3,1024,128
315071,48,64,4,1.0,0.0,0.01,3,1024,256
315072,48,64,4,1.0,0.0,0.01,4,256,64
315073,48,64,4,1.0,0.0,0.01,4,256,128
315074,48,64,4,1.0,0.0,0.01,4,256,256
315075,48,64,4,1.0,0.0,0.01,4,512,64
315076,48,64,4,1.0,0.0,0.01,4,512,128
315077,48,64,4,1.0,0.0,0.01,4,512,256
315078,48,64,4,1.0,0.0,0.01,4,1024,64
315079,48,64,4,1.0,0.0,0.01,4,1024,128
315080,48,64,4,1.0,0.0,0.01,4,1024,256
315081,48,64,4,1.0,0.0,0.01,5,256,64
315082,48,64,4,1.0,0.0,0.01,5,256,128
315083,48,64,4,1.0,0.0,0.01,5,256,256
315084,48,64,4,1.0,0.0,0.01,5,512,64
315085,48,64,4,1.0,0.0,0.01,5,512,128
315086,48,64,4,1.0,0.0,0.01,5,512,256
315087,48,64,4,1.0,0.0,0.01,5,1024,64
315088,48,64,4,1.0,0.0,0.01,5,1024,128
315089,48,64,4,1.0,0.0,0.01,5,1024,256
315090,48,64,4,1.0,0.0,0.015,1,256,64
315091,48,64,4,1.0,0.0,0.015,1,256,128
315092,48,64,4,1.0,0.0,0.015,1,256,256
315093,48,64,4,1.0,0.0,0.015,1,512,64
315094,48,64,4,1.0,0.0,0.015,1,512,128
315095,48,64,4,1.0,0.0,0.015,1,512,256
315096,48,64,4,1.0,0.0,0.015,1,1024,64
315097,48,64,4,1.0,0.0,0.015,1,1024,128
315098,48,64,4,1.0,0.0,0.015,1,1024,256
315099,48,64,4,1.0,0.0,0.015,2,256,64
315100,48,64,4,1.0,0.0,0.015,2,256,128
315101,48,64,4,1.0,0.0,0.015,2,256,256
315102,48,64,4,1.0,0.0,0.015,2,512,64
315103,48,64,4,1.0,0.0,0.015,2,512,128
315104,48,64,4,1.0,0.0,0.015,2,512,256
315105,48,64,4,1.0,0.0,0.015,2,1024,64
315106,48,64,4,1.0,0.0,0.015,2,1024,128
315107,48,64,4,1.0,0.0,0.015,2,1024,256
315108,48,64,4,1.0,0.0,0.015,3,256,64
315109,48,64,4,1.0,0.0,0.015,3,256,128
315110,48,64,4,1.0,0.0,0.015,3,256,256
315111,48,64,4,1.0,0.0,0.015,3,512,64
315112,48,64,4,1.0,0.0,0.015,3,512,128
315113,48,64,4,1.0,0.0,0.015,3,512,256
315114,48,64,4,1.0,0.0,0.015,3,1024,64
315115,48,64,4,1.0,0.0,0.015,3,1024,128
315116,48,64,4,1.0,0.0,0.015,3,1024,256
315117,48,64,4,1.0,0.0,0.015,4,256,64
315118,48,64,4,1.0,0.0,0.015,4,256,128
315119,48,64,4,1.0,0.0,0.015,4,256,256
315120,48,64,4,1.0,0.0,0.015,4,512,64
315121,48,64,4,1.0,0.0,0.015,4,512,128
315122,48,64,4,1.0,0.0,0.015,4,512,256
315123,48,64,4,1.0,0.0,0.015,4,1024,64
315124,48,64,4,1.0,0.0,0.015,4,1024,128
315125,48,64,4,1.0,0.0,0.015,4,1024,256
315126,48,64,4,1.0,0.0,0.015,5,256,64
315127,48,64,4,1.0,0.0,0.015,5,256,128
315128,48,64,4,1.0,0.0,0.015,5,256,256
315129,48,64,4,1.0,0.0,0.015,5,512,64
315130,48,64,4,1.0,0.0,0.015,5,512,128
315131,48,64,4,1.0,0.0,0.015,5,512,256
315132,48,64,4,1.0,0.0,0.015,5,1024,64
315133,48,64,4,1.0,0.0,0.015,5,1024,128
315134,48,64,4,1.0,0.0,0.015,5,1024,256
315135,48,64,4,1.0,0.0,0.02,1,256,64
315136,48,64,4,1.0,0.0,0.02,1,256,128
315137,48,64,4,1.0,0.0,0.02,1,256,256
315138,48,64,4,1.0,0.0,0.02,1,512,64
315139,48,64,4,1.0,0.0,0.02,1,512,128
315140,48,64,4,1.0,0.0,0.02,1,512,256
315141,48,64,4,1.0,0.0,0.02,1,1024,64
315142,48,64,4,1.0,0.0,0.02,1,1024,128
315143,48,64,4,1.0,0.0,0.02,1,1024,256
315144,48,64,4,1.0,0.0,0.02,2,256,64
315145,48,64,4,1.0,0.0,0.02,2,256,128
315146,48,64,4,1.0,0.0,0.02,2,256,256
315147,48,64,4,1.0,0.0,0.02,2,512,64
315148,48,64,4,1.0,0.0,0.02,2,512,128
315149,48,64,4,1.0,0.0,0.02,2,512,256
315150,48,64,4,1.0,0.0,0.02,2,1024,64
315151,48,64,4,1.0,0.0,0.02,2,1024,128
315152,48,64,4,1.0,0.0,0.02,2,1024,256
315153,48,64,4,1.0,0.0,0.02,3,256,64
315154,48,64,4,1.0,0.0,0.02,3,256,128
315155,48,64,4,1.0,0.0,0.02,3,256,256
315156,48,64,4,1.0,0.0,0.02,3,512,64
315157,48,64,4,1.0,0.0,0.02,3,512,128
315158,48,64,4,1.0,0.0,0.02,3,512,256
315159,48,64,4,1.0,0.0,0.02,3,1024,64
315160,48,64,4,1.0,0.0,0.02,3,1024,128
315161,48,64,4,1.0,0.0,0.02,3,1024,256
315162,48,64,4,1.0,0.0,0.02,4,256,64
315163,48,64,4,1.0,0.0,0.02,4,256,128
315164,48,64,4,1.0,0.0,0.02,4,256,256
315165,48,64,4,1.0,0.0,0.02,4,512,64
315166,48,64,4,1.0,0.0,0.02,4,512,128
315167,48,64,4,1.0,0.0,0.02,4,512,256
315168,48,64,4,1.0,0.0,0.02,4,1024,64
315169,48,64,4,1.0,0.0,0.02,4,1024,128
315170,48,64,4,1.0,0.0,0.02,4,1024,256
315171,48,64,4,1.0,0.0,0.02,5,256,64
315172,48,64,4,1.0,0.0,0.02,5,256,128
315173,48,64,4,1.0,0.0,0.02,5,256,256
315174,48,64,4,1.0,0.0,0.02,5,512,64
315175,48,64,4,1.0,0.0,0.02,5,512,128
315176,48,64,4,1.0,0.0,0.02,5,512,256
315177,48,64,4,1.0,0.0,0.02,5,1024,64
315178,48,64,4,1.0,0.0,0.02,5,1024,128
315179,48,64,4,1.0,0.0,0.02,5,1024,256
315180,48,64,4,1.0,0.0,0.025,1,256,64
315181,48,64,4,1.0,0.0,0.025,1,256,128
315182,48,64,4,1.0,0.0,0.025,1,256,256
315183,48,64,4,1.0,0.0,0.025,1,512,64
315184,48,64,4,1.0,0.0,0.025,1,512,128
315185,48,64,4,1.0,0.0,0.025,1,512,256
315186,48,64,4,1.0,0.0,0.025,1,1024,64
315187,48,64,4,1.0,0.0,0.025,1,1024,128
315188,48,64,4,1.0,0.0,0.025,1,1024,256
315189,48,64,4,1.0,0.0,0.025,2,256,64
315190,48,64,4,1.0,0.0,0.025,2,256,128
315191,48,64,4,1.0,0.0,0.025,2,256,256
315192,48,64,4,1.0,0.0,0.025,2,512,64
315193,48,64,4,1.0,0.0,0.025,2,512,128
315194,48,64,4,1.0,0.0,0.025,2,512,256
315195,48,64,4,1.0,0.0,0.025,2,1024,64
315196,48,64,4,1.0,0.0,0.025,2,1024,128
315197,48,64,4,1.0,0.0,0.025,2,1024,256
315198,48,64,4,1.0,0.0,0.025,3,256,64
315199,48,64,4,1.0,0.0,0.025,3,256,128
315200,48,64,4,1.0,0.0,0.025,3,256,256
315201,48,64,4,1.0,0.0,0.025,3,512,64
315202,48,64,4,1.0,0.0,0.025,3,512,128
315203,48,64,4,1.0,0.0,0.025,3,512,256
315204,48,64,4,1.0,0.0,0.025,3,1024,64
315205,48,64,4,1.0,0.0,0.025,3,1024,128
315206,48,64,4,1.0,0.0,0.025,3,1024,256
315207,48,64,4,1.0,0.0,0.025,4,256,64
315208,48,64,4,1.0,0.0,0.025,4,256,128
315209,48,64,4,1.0,0.0,0.025,4,256,256
315210,48,64,4,1.0,0.0,0.025,4,512,64
315211,48,64,4,1.0,0.0,0.025,4,512,128
315212,48,64,4,1.0,0.0,0.025,4,512,256
315213,48,64,4,1.0,0.0,0.025,4,1024,64
315214,48,64,4,1.0,0.0,0.025,4,1024,128
315215,48,64,4,1.0,0.0,0.025,4,1024,256
315216,48,64,4,1.0,0.0,0.025,5,256,64
315217,48,64,4,1.0,0.0,0.025,5,256,128
315218,48,64,4,1.0,0.0,0.025,5,256,256
315219,48,64,4,1.0,0.0,0.025,5,512,64
315220,48,64,4,1.0,0.0,0.025,5,512,128
315221,48,64,4,1.0,0.0,0.025,5,512,256
315222,48,64,4,1.0,0.0,0.025,5,1024,64
315223,48,64,4,1.0,0.0,0.025,5,1024,128
315224,48,64,4,1.0,0.0,0.025,5,1024,256
315225,48,64,4,1.0,0.0001,0.005,1,256,64
315226,48,64,4,1.0,0.0001,0.005,1,256,128
315227,48,64,4,1.0,0.0001,0.005,1,256,256
315228,48,64,4,1.0,0.0001,0.005,1,512,64
315229,48,64,4,1.0,0.0001,0.005,1,512,128
315230,48,64,4,1.0,0.0001,0.005,1,512,256
315231,48,64,4,1.0,0.0001,0.005,1,1024,64
315232,48,64,4,1.0,0.0001,0.005,1,1024,128
315233,48,64,4,1.0,0.0001,0.005,1,1024,256
315234,48,64,4,1.0,0.0001,0.005,2,256,64
315235,48,64,4,1.0,0.0001,0.005,2,256,128
315236,48,64,4,1.0,0.0001,0.005,2,256,256
315237,48,64,4,1.0,0.0001,0.005,2,512,64
315238,48,64,4,1.0,0.0001,0.005,2,512,128
315239,48,64,4,1.0,0.0001,0.005,2,512,256
315240,48,64,4,1.0,0.0001,0.005,2,1024,64
315241,48,64,4,1.0,0.0001,0.005,2,1024,128
315242,48,64,4,1.0,0.0001,0.005,2,1024,256
315243,48,64,4,1.0,0.0001,0.005,3,256,64
315244,48,64,4,1.0,0.0001,0.005,3,256,128
315245,48,64,4,1.0,0.0001,0.005,3,256,256
315246,48,64,4,1.0,0.0001,0.005,3,512,64
315247,48,64,4,1.0,0.0001,0.005,3,512,128
315248,48,64,4,1.0,0.0001,0.005,3,512,256
315249,48,64,4,1.0,0.0001,0.005,3,1024,64
315250,48,64,4,1.0,0.0001,0.005,3,1024,128
315251,48,64,4,1.0,0.0001,0.005,3,1024,256
315252,48,64,4,1.0,0.0001,0.005,4,256,64
