combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
0,16,16,3,1.0,0.0,0.005,1,256,64
1,16,16,3,1.0,0.0,0.005,1,256,128
2,16,16,3,1.0,0.0,0.005,1,256,256
3,16,16,3,1.0,0.0,0.005,1,512,64
4,16,16,3,1.0,0.0,0.005,1,512,128
5,16,16,3,1.0,0.0,0.005,1,512,256
6,16,16,3,1.0,0.0,0.005,1,1024,64
7,16,16,3,1.0,0.0,0.005,1,1024,128
8,16,16,3,1.0,0.0,0.005,1,1024,256
9,16,16,3,1.0,0.0,0.005,2,256,64
10,16,16,3,1.0,0.0,0.005,2,256,128
11,16,16,3,1.0,0.0,0.005,2,256,256
12,16,16,3,1.0,0.0,0.005,2,512,64
13,16,16,3,1.0,0.0,0.005,2,512,128
14,16,16,3,1.0,0.0,0.005,2,512,256
15,16,16,3,1.0,0.0,0.005,2,1024,64
16,16,16,3,1.0,0.0,0.005,2,1024,128
17,16,16,3,1.0,0.0,0.005,2,1024,256
18,16,16,3,1.0,0.0,0.005,3,256,64
19,16,16,3,1.0,0.0,0.005,3,256,128
20,16,16,3,1.0,0.0,0.005,3,256,256
21,16,16,3,1.0,0.0,0.005,3,512,64
22,16,16,3,1.0,0.0,0.005,3,512,128
23,16,16,3,1.0,0.0,0.005,3,512,256
24,16,16,3,1.0,0.0,0.005,3,1024,64
25,16,16,3,1.0,0.0,0.005,3,1024,128
26,16,16,3,1.0,0.0,0.005,3,1024,256
27,16,16,3,1.0,0.0,0.005,4,256,64
28,16,16,3,1.0,0.0,0.005,4,256,128
29,16,16,3,1.0,0.0,0.005,4,256,256
30,16,16,3,1.0,0.0,0.005,4,512,64
31,16,16,3,1.0,0.0,0.005,4,512,128
32,16,16,3,1.0,0.0,0.005,4,512,256
33,16,16,3,1.0,0.0,0.005,4,1024,64
34,16,16,3,1.0,0.0,0.005,4,1024,128
35,16,16,3,1.0,0.0,0.005,4,1024,256
36,16,16,3,1.0,0.0,0.005,5,256,64
37,16,16,3,1.0,0.0,0.005,5,256,128
38,16,16,3,1.0,0.0,0.005,5,256,256
39,16,16,3,1.0,0.0,0.005,5,512,64
40,16,16,3,1.0,0.0,0.005,5,512,128
41,16,16,3,1.0,0.0,0.005,5,512,256
42,16,16,3,1.0,0.0,0.005,5,1024,64
43,16,16,3,1.0,0.0,0.005,5,1024,128
44,16,16,3,1.0,0.0,0.005,5,1024,256
45,16,16,3,1.0,0.0,0.01,1,256,64
46,16,16,3,1.0,0.0,0.01,1,256,128
47,16,16,3,1.0,0.0,0.01,1,256,256
48,16,16,3,1.0,0.0,0.01,1,512,64
49,16,16,3,1.0,0.0,0.01,1,512,128
50,16,16,3,1.0,0.0,0.01,1,512,256
51,16,16,3,1.0,0.0,0.01,1,1024,64
52,16,16,3,1.0,0.0,0.01,1,1024,128
53,16,16,3,1.0,0.0,0.01,1,1024,256
54,16,16,3,1.0,0.0,0.01,2,256,64
55,16,16,3,1.0,0.0,0.01,2,256,128
56,16,16,3,1.0,0.0,0.01,2,256,256
57,16,16,3,1.0,0.0,0.01,2,512,64
58,16,16,3,1.0,0.0,0.01,2,512,128
59,16,16,3,1.0,0.0,0.01,2,512,256
60,16,16,3,1.0,0.0,0.01,2,1024,64
61,16,16,3,1.0,0.0,0.01,2,1024,128
62,16,16,3,1.0,0.0,0.01,2,1024,256
63,16,16,3,1.0,0.0,0.01,3,256,64
64,16,16,3,1.0,0.0,0.01,3,256,128
65,16,16,3,1.0,0.0,0.01,3,256,256
66,16,16,3,1.0,0.0,0.01,3,512,64
67,16,16,3,1.0,0.0,0.01,3,512,128
68,16,16,3,1.0,0.0,0.01,3,512,256
