combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
225000,48,16,3,1.0,0.0,0.005,1,256,64
225001,48,16,3,1.0,0.0,0.005,1,256,128
225002,48,16,3,1.0,0.0,0.005,1,256,256
225003,48,16,3,1.0,0.0,0.005,1,512,64
225004,48,16,3,1.0,0.0,0.005,1,512,128
225005,48,16,3,1.0,0.0,0.005,1,512,256
225006,48,16,3,1.0,0.0,0.005,1,1024,64
225007,48,16,3,1.0,0.0,0.005,1,1024,128
225008,48,16,3,1.0,0.0,0.005,1,1024,256
225009,48,16,3,1.0,0.0,0.005,2,256,64
225010,48,16,3,1.0,0.0,0.005,2,256,128
225011,48,16,3,1.0,0.0,0.005,2,256,256
225012,48,16,3,1.0,0.0,0.005,2,512,64
225013,48,16,3,1.0,0.0,0.005,2,512,128
225014,48,16,3,1.0,0.0,0.005,2,512,256
225015,48,16,3,1.0,0.0,0.005,2,1024,64
225016,48,16,3,1.0,0.0,0.005,2,1024,128
225017,48,16,3,1.0,0.0,0.005,2,1024,256
225018,48,16,3,1.0,0.0,0.005,3,256,64
225019,48,16,3,1.0,0.0,0.005,3,256,128
225020,48,16,3,1.0,0.0,0.005,3,256,256
225021,48,16,3,1.0,0.0,0.005,3,512,64
225022,48,16,3,1.0,0.0,0.005,3,512,128
225023,48,16,3,1.0,0.0,0.005,3,512,256
225024,48,16,3,1.0,0.0,0.005,3,1024,64
225025,48,16,3,1.0,0.0,0.005,3,1024,128
225026,48,16,3,1.0,0.0,0.005,3,1024,256
225027,48,16,3,1.0,0.0,0.005,4,256,64
225028,48,16,3,1.0,0.0,0.005,4,256,128
225029,48,16,3,1.0,0.0,0.005,4,256,256
225030,48,16,3,1.0,0.0,0.005,4,512,64
225031,48,16,3,1.0,0.0,0.005,4,512,128
225032,48,16,3,1.0,0.0,0.005,4,512,256
225033,48,16,3,1.0,0.0,0.005,4,1024,64
225034,48,16,3,1.0,0.0,0.005,4,1024,128
225035,48,16,3,1.0,0.0,0.005,4,1024,256
225036,48,16,3,1.0,0.0,0.005,5,256,64
225037,48,16,3,1.0,0.0,0.005,5,256,128
225038,48,16,3,1.0,0.0,0.005,5,256,256
225039,48,16,3,1.0,0.0,0.005,5,512,64
225040,48,16,3,1.0,0.0,0.005,5,512,128
225041,48,16,3,1.0,0.0,0.005,5,512,256
225042,48,16,3,1.0,0.0,0.005,5,1024,64
225043,48,16,3,1.0,0.0,0.005,5,1024,128
225044,48,16,3,1.0,0.0,0.005,5,1024,256
225045,48,16,3,1.0,0.0,0.01,1,256,64
225046,48,16,3,1.0,0.0,0.01,1,256,128
225047,48,16,3,1.0,0.0,0.01,1,256,256
225048,48,16,3,1.0,0.0,0.01,1,512,64
225049,48,16,3,1.0,0.0,0.01,1,512,128
225050,48,16,3,1.0,0.0,0.01,1,512,256
225051,48,16,3,1.0,0.0,0.01,1,1024,64
225052,48,16,3,1.0,0.0,0.01,1,1024,128
225053,48,16,3,1.0,0.0,0.01,1,1024,256
225054,48,16,3,1.0,0.0,0.01,2,256,64
225055,48,16,3,1.0,0.0,0.01,2,256,128
225056,48,16,3,1.0,0.0,0.01,2,256,256
225057,48,16,3,1.0,0.0,0.01,2,512,64
225058,48,16,3,1.0,0.0,0.01,2,512,128
225059,48,16,3,1.0,0.0,0.01,2,512,256
225060,48,16,3,1.0,0.0,0.01,2,1024,64
225061,48,16,3,1.0,0.0,0.01,2,1024,128
225062,48,16,3,1.0,0.0,0.01,2,1024,256
225063,48,16,3,1.0,0.0,0.01,3,256,64
225064,48,16,3,1.0,0.0,0.01,3,256,128
225065,48,16,3,1.0,0.0,0.01,3,256,256
225066,48,16,3,1.0,0.0,0.01,3,512,64
225067,48,16,3,1.0,0.0,0.01,3,512,128
225068,48,16,3,1.0,0.0,0.01,3,512,256
225069,48,16,3,1.0,0.0,0.01,3,1024,64
225070,48,16,3,1.0,0.0,0.01,3,1024,128
225071,48,16,3,1.0,0.0,0.01,3,1024,256
225072,48,16,3,1.0,0.0,0.01,4,256,64
225073,48,16,3,1.0,0.0,0.01,4,256,128
225074,48,16,3,1.0,0.0,0.01,4,256,256
225075,48,16,3,1.0,0.0,0.01,4,512,64
225076,48,16,3,1.0,0.0,0.01,4,512,128
225077,48,16,3,1.0,0.0,0.01,4,512,256
225078,48,16,3,1.0,0.0,0.01,4,1024,64
225079,48,16,3,1.0,0.0,0.01,4,1024,128
225080,48,16,3,1.0,0.0,0.01,4,1024,256
225081,48,16,3,1.0,0.0,0.01,5,256,64
225082,48,16,3,1.0,0.0,0.01,5,256,128
225083,48,16,3,1.0,0.0,0.01,5,256,256
225084,48,16,3,1.0,0.0,0.01,5,512,64
225085,48,16,3,1.0,0.0,0.01,5,512,128
225086,48,16,3,1.0,0.0,0.01,5,512,256
225087,48,16,3,1.0,0.0,0.01,5,1024,64
225088,48,16,3,1.0,0.0,0.01,5,1024,128
225089,48,16,3,1.0,0.0,0.01,5,1024,256
225090,48,16,3,1.0,0.0,0.015,1,256,64
225091,48,16,3,1.0,0.0,0.015,1,256,128
225092,48,16,3,1.0,0.0,0.015,1,256,256
225093,48,16,3,1.0,0.0,0.015,1,512,64
225094,48,16,3,1.0,0.0,0.015,1,512,128
225095,48,16,3,1.0,0.0,0.015,1,512,256
225096,48,16,3,1.0,0.0,0.015,1,1024,64
225097,48,16,3,1.0,0.0,0.015,1,1024,128
225098,48,16,3,1.0,0.0,0.015,1,1024,256
225099,48,16,3,1.0,0.0,0.015,2,256,64
225100,48,16,3,1.0,0.0,0.015,2,256,128
225101,48,16,3,1.0,0.0,0.015,2,256,256
225102,48,16,3,1.0,0.0,0.015,2,512,64
225103,48,16,3,1.0,0.0,0.015,2,512,128
225104,48,16,3,1.0,0.0,0.015,2,512,256
225105,48,16,3,1.0,0.0,0.015,2,1024,64
225106,48,16,3,1.0,0.0,0.015,2,1024,128
225107,48,16,3,1.0,0.0,0.015,2,1024,256
225108,48,16,3,1.0,0.0,0.015,3,256,64
225109,48,16,3,1.0,0.0,0.015,3,256,128
225110,48,16,3,1.0,0.0,0.015,3,256,256
225111,48,16,3,1.0,0.0,0.015,3,512,64
225112,48,16,3,1.0,0.0,0.015,3,512,128
225113,48,16,3,1.0,0.0,0.015,3,512,256
225114,48,16,3,1.0,0.0,0.015,3,1024,64
225115,48,16,3,1.0,0.0,0.015,3,1024,128
225116,48,16,3,1.0,0.0,0.015,3,1024,256
225117,48,16,3,1.0,0.0,0.015,4,256,64
225118,48,16,3,1.0,0.0,0.015,4,256,128
225119,48,16,3,1.0,0.0,0.015,4,256,256
225120,48,16,3,1.0,0.0,0.015,4,512,64
225121,48,16,3,1.0,0.0,0.015,4,512,128
225122,48,16,3,1.0,0.0,0.015,4,512,256
225123,48,16,3,1.0,0.0,0.015,4,1024,64
225124,48,16,3,1.0,0.0,0.015,4,1024,128
225125,48,16,3,1.0,0.0,0.015,4,1024,256
225126,48,16,3,1.0,0.0,0.015,5,256,64
225127,48,16,3,1.0,0.0,0.015,5,256,128
225128,48,16,3,1.0,0.0,0.015,5,256,256
225129,48,16,3,1.0,0.0,0.015,5,512,64
225130,48,16,3,1.0,0.0,0.015,5,512,128
225131,48,16,3,1.0,0.0,0.015,5,512,256
225132,48,16,3,1.0,0.0,0.015,5,1024,64
225133,48,16,3,1.0,0.0,0.015,5,1024,128
225134,48,16,3,1.0,0.0,0.015,5,1024,256
225135,48,16,3,1.0,0.0,0.02,1,256,64
225136,48,16,3,1.0,0.0,0.02,1,256,128
225137,48,16,3,1.0,0.0,0.02,1,256,256
225138,48,16,3,1.0,0.0,0.02,1,512,64
225139,48,16,3,1.0,0.0,0.02,1,512,128
225140,48,16,3,1.0,0.0,0.02,1,512,256
225141,48,16,3,1.0,0.0,0.02,1,1024,64
225142,48,16,3,1.0,0.0,0.02,1,1024,128
225143,48,16,3,1.0,0.0,0.02,1,1024,256
225144,48,16,3,1.0,0.0,0.02,2,256,64
225145,48,16,3,1.0,0.0,0.02,2,256,128
225146,48,16,3,1.0,0.0,0.02,2,256,256
225147,48,16,3,1.0,0.0,0.02,2,512,64
225148,48,16,3,1.0,0.0,0.02,2,512,128
225149,48,16,3,1.0,0.0,0.02,2,512,256
225150,48,16,3,1.0,0.0,0.02,2,1024,64
225151,48,16,3,1.0,0.0,0.02,2,1024,128
225152,48,16,3,1.0,0.0,0.02,2,1024,256
225153,48,16,3,1.0,0.0,0.02,3,256,64
225154,48,16,3,1.0,0.0,0.02,3,256,128
225155,48,16,3,1.0,0.0,0.02,3,256,256
225156,48,16,3,1.0,0.0,0.02,3,512,64
225157,48,16,3,1.0,0.0,0.02,3,512,128
225158,48,16,3,1.0,0.0,0.02,3,512,256
225159,48,16,3,1.0,0.0,0.02,3,1024,64
225160,48,16,3,1.0,0.0,0.02,3,1024,128
225161,48,16,3,1.0,0.0,0.02,3,1024,256
225162,48,16,3,1.0,0.0,0.02,4,256,64
225163,48,16,3,1.0,0.0,0.02,4,256,128
225164,48,16,3,1.0,0.0,0.02,4,256,256
225165,48,16,3,1.0,0.0,0.02,4,512,64
225166,48,16,3,1.0,0.0,0.02,4,512,128
225167,48,16,3,1.0,0.0,0.02,4,512,256
225168,48,16,3,1.0,0.0,0.02,4,1024,64
225169,48,16,3,1.0,0.0,0.02,4,1024,128
225170,48,16,3,1.0,0.0,0.02,4,1024,256
225171,48,16,3,1.0,0.0,0.02,5,256,64
225172,48,16,3,1.0,0.0,0.02,5,256,128
225173,48,16,3,1.0,0.0,0.02,5,256,256
225174,48,16,3,1.0,0.0,0.02,5,512,64
225175,48,16,3,1.0,0.0,0.02,5,512,128
225176,48,16,3,1.0,0.0,0.02,5,512,256
225177,48,16,3,1.0,0.0,0.02,5,1024,64
225178,48,16,3,1.0,0.0,0.02,5,1024,128
225179,48,16,3,1.0,0.0,0.02,5,1024,256
225180,48,16,3,1.0,0.0,0.025,1,256,64
225181,48,16,3,1.0,0.0,0.025,1,256,128
225182,48,16,3,1.0,0.0,0.025,1,256,256
225183,48,16,3,1.0,0.0,0.025,1,512,64
225184,48,16,3,1.0,0.0,0.025,1,512,128
225185,48,16,3,1.0,0.0,0.025,1,512,256
225186,48,16,3,1.0,0.0,0.025,1,1024,64
225187,48,16,3,1.0,0.0,0.025,1,1024,128
225188,48,16,3,1.0,0.0,0.025,1,1024,256
225189,48,16,3,1.0,0.0,0.025,2,256,64
225190,48,16,3,1.0,0.0,0.025,2,256,128
225191,48,16,3,1.0,0.0,0.025,2,256,256
225192,48,16,3,1.0,0.0,0.025,2,512,64
225193,48,16,3,1.0,0.0,0.025,2,512,128
225194,48,16,3,1.0,0.0,0.025,2,512,256
225195,48,16,3,1.0,0.0,0.025,2,1024,64
225196,48,16,3,1.0,0.0,0.025,2,1024,128
225197,48,16,3,1.0,0.0,0.025,2,1024,256
225198,48,16,3,1.0,0.0,0.025,3,256,64
225199,48,16,3,1.0,0.0,0.025,3,256,128
225200,48,16,3,1.0,0.0,0.025,3,256,256
225201,48,16,3,1.0,0.0,0.025,3,512,64
225202,48,16,3,1.0,0.0,0.025,3,512,128
225203,48,16,3,1.0,0.0,0.025,3,512,256
225204,48,16,3,1.0,0.0,0.025,3,1024,64
225205,48,16,3,1.0,0.0,0.025,3,1024,128
225206,48,16,3,1.0,0.0,0.025,3,1024,256
225207,48,16,3,1.0,0.0,0.025,4,256,64
225208,48,16,3,1.0,0.0,0.025,4,256,128
225209,48,16,3,1.0,0.0,0.025,4,256,256
225210,48,16,3,1.0,0.0,0.025,4,512,64
225211,48,16,3,1.0,0.0,0.025,4,512,128
