combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
45000,16,32,6,1.0,0.0,0.005,1,256,64
45001,16,32,6,1.0,0.0,0.005,1,256,128
45002,16,32,6,1.0,0.0,0.005,1,256,256
45003,16,32,6,1.0,0.0,0.005,1,512,64
45004,16,32,6,1.0,0.0,0.005,1,512,128
45005,16,32,6,1.0,0.0,0.005,1,512,256
45006,16,32,6,1.0,0.0,0.005,1,1024,64
45007,16,32,6,1.0,0.0,0.005,1,1024,128
45008,16,32,6,1.0,0.0,0.005,1,1024,256
45009,16,32,6,1.0,0.0,0.005,2,256,64
45010,16,32,6,1.0,0.0,0.005,2,256,128
45011,16,32,6,1.0,0.0,0.005,2,256,256
45012,16,32,6,1.0,0.0,0.005,2,512,64
45013,16,32,6,1.0,0.0,0.005,2,512,128
45014,16,32,6,1.0,0.0,0.005,2,512,256
45015,16,32,6,1.0,0.0,0.005,2,1024,64
45016,16,32,6,1.0,0.0,0.005,2,1024,128
45017,16,32,6,1.0,0.0,0.005,2,1024,256
45018,16,32,6,1.0,0.0,0.005,3,256,64
45019,16,32,6,1.0,0.0,0.005,3,256,128
45020,16,32,6,1.0,0.0,0.005,3,256,256
45021,16,32,6,1.0,0.0,0.005,3,512,64
45022,16,32,6,1.0,0.0,0.005,3,512,128
45023,16,32,6,1.0,0.0,0.005,3,512,256
45024,16,32,6,1.0,0.0,0.005,3,1024,64
45025,16,32,6,1.0,0.0,0.005,3,1024,128
45026,16,32,6,1.0,0.0,0.005,3,1024,256
45027,16,32,6,1.0,0.0,0.005,4,256,64
45028,16,32,6,1.0,0.0,0.005,4,256,128
45029,16,32,6,1.0,0.0,0.005,4,256,256
45030,16,32,6,1.0,0.0,0.005,4,512,64
45031,16,32,6,1.0,0.0,0.005,4,512,128
45032,16,32,6,1.0,0.0,0.005,4,512,256
45033,16,32,6,1.0,0.0,0.005,4,1024,64
45034,16,32,6,1.0,0.0,0.005,4,1024,128
45035,16,32,6,1.0,0.0,0.005,4,1024,256
45036,16,32,6,1.0,0.0,0.005,5,256,64
45037,16,32,6,1.0,0.0,0.005,5,256,128
45038,16,32,6,1.0,0.0,0.005,5,256,256
45039,16,32,6,1.0,0.0,0.005,5,512,64
45040,16,32,6,1.0,0.0,0.005,5,512,128
45041,16,32,6,1.0,0.0,0.005,5,512,256
45042,16,32,6,1.0,0.0,0.005,5,1024,64
45043,16,32,6,1.0,0.0,0.005,5,1024,128
45044,16,32,6,1.0,0.0,0.005,5,1024,256
45045,16,32,6,1.0,0.0,0.01,1,256,64
45046,16,32,6,1.0,0.0,0.01,1,256,128
45047,16,32,6,1.0,0.0,0.01,1,256,256
45048,16,32,6,1.0,0.0,0.01,1,512,64
45049,16,32,6,1.0,0.0,0.01,1,512,128
45050,16,32,6,1.0,0.0,0.01,1,512,256
45051,16,32,6,1.0,0.0,0.01,1,1024,64
45052,16,32,6,1.0,0.0,0.01,1,1024,128
45053,16,32,6,1.0,0.0,0.01,1,1024,256
45054,16,32,6,1.0,0.0,0.01,2,256,64
45055,16,32,6,1.0,0.0,0.01,2,256,128
45056,16,32,6,1.0,0.0,0.01,2,256,256
45057,16,32,6,1.0,0.0,0.01,2,512,64
45058,16,32,6,1.0,0.0,0.01,2,512,128
45059,16,32,6,1.0,0.0,0.01,2,512,256
45060,16,32,6,1.0,0.0,0.01,2,1024,64
45061,16,32,6,1.0,0.0,0.01,2,1024,128
45062,16,32,6,1.0,0.0,0.01,2,1024,256
45063,16,32,6,1.0,0.0,0.01,3,256,64
45064,16,32,6,1.0,0.0,0.01,3,256,128
45065,16,32,6,1.0,0.0,0.01,3,256,256
45066,16,32,6,1.0,0.0,0.01,3,512,64
45067,16,32,6,1.0,0.0,0.01,3,512,128
45068,16,32,6,1.0,0.0,0.01,3,512,256
45069,16,32,6,1.0,0.0,0.01,3,1024,64
45070,16,32,6,1.0,0.0,0.01,3,1024,128
45071,16,32,6,1.0,0.0,0.01,3,1024,256
45072,16,32,6,1.0,0.0,0.01,4,256,64
45073,16,32,6,1.0,0.0,0.01,4,256,128
45074,16,32,6,1.0,0.0,0.01,4,256,256
45075,16,32,6,1.0,0.0,0.01,4,512,64
45076,16,32,6,1.0,0.0,0.01,4,512,128
45077,16,32,6,1.0,0.0,0.01,4,512,256
45078,16,32,6,1.0,0.0,0.01,4,1024,64
45079,16,32,6,1.0,0.0,0.01,4,1024,128
45080,16,32,6,1.0,0.0,0.01,4,1024,256
45081,16,32,6,1.0,0.0,0.01,5,256,64
45082,16,32,6,1.0,0.0,0.01,5,256,128
45083,16,32,6,1.0,0.0,0.01,5,256,256
45084,16,32,6,1.0,0.0,0.01,5,512,64
45085,16,32,6,1.0,0.0,0.01,5,512,128
45086,16,32,6,1.0,0.0,0.01,5,512,256
45087,16,32,6,1.0,0.0,0.01,5,1024,64
45088,16,32,6,1.0,0.0,0.01,5,1024,128
45089,16,32,6,1.0,0.0,0.01,5,1024,256
45090,16,32,6,1.0,0.0,0.015,1,256,64
45091,16,32,6,1.0,0.0,0.015,1,256,128
45092,16,32,6,1.0,0.0,0.015,1,256,256
45093,16,32,6,1.0,0.0,0.015,1,512,64
45094,16,32,6,1.0,0.0,0.015,1,512,128
45095,16,32,6,1.0,0.0,0.015,1,512,256
45096,16,32,6,1.0,0.0,0.015,1,1024,64
45097,16,32,6,1.0,0.0,0.015,1,1024,128
45098,16,32,6,1.0,0.0,0.015,1,1024,256
45099,16,32,6,1.0,0.0,0.015,2,256,64
45100,16,32,6,1.0,0.0,0.015,2,256,128
45101,16,32,6,1.0,0.0,0.015,2,256,256
45102,16,32,6,1.0,0.0,0.015,2,512,64
45103,16,32,6,1.0,0.0,0.015,2,512,128
45104,16,32,6,1.0,0.0,0.015,2,512,256
45105,16,32,6,1.0,0.0,0.015,2,1024,64
45106,16,32,6,1.0,0.0,0.015,2,1024,128
45107,16,32,6,1.0,0.0,0.015,2,1024,256
45108,16,32,6,1.0,0.0,0.015,3,256,64
45109,16,32,6,1.0,0.0,0.015,3,256,128
45110,16,32,6,1.0,0.0,0.015,3,256,256
45111,16,32,6,1.0,0.0,0.015,3,512,64
45112,16,32,6,1.0,0.0,0.015,3,512,128
45113,16,32,6,1.0,0.0,0.015,3,512,256
45114,16,32,6,1.0,0.0,0.015,3,1024,64
45115,16,32,6,1.0,0.0,0.015,3,1024,128
45116,16,32,6,1.0,0.0,0.015,3,1024,256
45117,16,32,6,1.0,0.0,0.015,4,256,64
45118,16,32,6,1.0,0.0,0.015,4,256,128
45119,16,32,6,1.0,0.0,0.015,4,256,256
45120,16,32,6,1.0,0.0,0.015,4,512,64
45121,16,32,6,1.0,0.0,0.015,4,512,128
45122,16,32,6,1.0,0.0,0.015,4,512,256
45123,16,32,6,1.0,0.0,0.015,4,1024,64
45124,16,32,6,1.0,0.0,0.015,4,1024,128
45125,16,32,6,1.0,0.0,0.015,4,1024,256
45126,16,32,6,1.0,0.0,0.015,5,256,64
45127,16,32,6,1.0,0.0,0.015,5,256,128
45128,16,32,6,1.0,0.0,0.015,5,256,256
45129,16,32,6,1.0,0.0,0.015,5,512,64
45130,16,32,6,1.0,0.0,0.015,5,512,128
45131,16,32,6,1.0,0.0,0.015,5,512,256
45132,16,32,6,1.0,0.0,0.015,5,1024,64
45133,16,32,6,1.0,0.0,0.015,5,1024,128
45134,16,32,6,1.0,0.0,0.015,5,1024,256
45135,16,32,6,1.0,0.0,0.02,1,256,64
45136,16,32,6,1.0,0.0,0.02,1,256,128
45137,16,32,6,1.0,0.0,0.02,1,256,256
45138,16,32,6,1.0,0.0,0.02,1,512,64
45139,16,32,6,1.0,0.0,0.02,1,512,128
45140,16,32,6,1.0,0.0,0.02,1,512,256
45141,16,32,6,1.0,0.0,0.02,1,1024,64
45142,16,32,6,1.0,0.0,0.02,1,1024,128
45143,16,32,6,1.0,0.0,0.02,1,1024,256
45144,16,32,6,1.0,0.0,0.02,2,256,64
45145,16,32,6,1.0,0.0,0.02,2,256,128
45146,16,32,6,1.0,0.0,0.02,2,256,256
45147,16,32,6,1.0,0.0,0.02,2,512,64
45148,16,32,6,1.0,0.0,0.02,2,512,128
45149,16,32,6,1.0,0.0,0.02,2,512,256
45150,16,32,6,1.0,0.0,0.02,2,1024,64
45151,16,32,6,1.0,0.0,0.02,2,1024,128
45152,16,32,6,1.0,0.0,0.02,2,1024,256
45153,16,32,6,1.0,0.0,0.02,3,256,64
45154,16,32,6,1.0,0.0,0.02,3,256,128
45155,16,32,6,1.0,0.0,0.02,3,256,256
45156,16,32,6,1.0,0.0,0.02,3,512,64
45157,16,32,6,1.0,0.0,0.02,3,512,128
45158,16,32,6,1.0,0.0,0.02,3,512,256
45159,16,32,6,1.0,0.0,0.02,3,1024,64
45160,16,32,6,1.0,0.0,0.02,3,1024,128
45161,16,32,6,1.0,0.0,0.02,3,1024,256
45162,16,32,6,1.0,0.0,0.02,4,256,64
45163,16,32,6,1.0,0.0,0.02,4,256,128
45164,16,32,6,1.0,0.0,0.02,4,256,256
45165,16,32,6,1.0,0.0,0.02,4,512,64
45166,16,32,6,1.0,0.0,0.02,4,512,128
45167,16,32,6,1.0,0.0,0.02,4,512,256
45168,16,32,6,1.0,0.0,0.02,4,1024,64
45169,16,32,6,1.0,0.0,0.02,4,1024,128
45170,16,32,6,1.0,0.0,0.02,4,1024,256
45171,16,32,6,1.0,0.0,0.02,5,256,64
45172,16,32,6,1.0,0.0,0.02,5,256,128
45173,16,32,6,1.0,0.0,0.02,5,256,256
45174,16,32,6,1.0,0.0,0.02,5,512,64
45175,16,32,6,1.0,0.0,0.02,5,512,128
45176,16,32,6,1.0,0.0,0.02,5,512,256
45177,16,32,6,1.0,0.0,0.02,5,1024,64
45178,16,32,6,1.0,0.0,0.02,5,1024,128
45179,16,32,6,1.0,0.0,0.02,5,1024,256
45180,16,32,6,1.0,0.0,0.025,1,256,64
45181,16,32,6,1.0,0.0,0.025,1,256,128
45182,16,32,6,1.0,0.0,0.025,1,256,256
45183,16,32,6,1.0,0.0,0.025,1,512,64
45184,16,32,6,1.0,0.0,0.025,1,512,128
45185,16,32,6,1.0,0.0,0.025,1,512,256
45186,16,32,6,1.0,0.0,0.025,1,1024,64
45187,16,32,6,1.0,0.0,0.025,1,1024,128
45188,16,32,6,1.0,0.0,0.025,1,1024,256
45189,16,32,6,1.0,0.0,0.025,2,256,64
45190,16,32,6,1.0,0.0,0.025,2,256,128
45191,16,32,6,1.0,0.0,0.025,2,256,256
45192,16,32,6,1.0,0.0,0.025,2,512,64
45193,16,32,6,1.0,0.0,0.025,2,512,128
45194,16,32,6,1.0,0.0,0.025,2,512,256
45195,16,32,6,1.0,0.0,0.025,2,1024,64
45196,16,32,6,1.0,0.0,0.025,2,1024,128
45197,16,32,6,1.0,0.0,0.025,2,1024,256
45198,16,32,6,1.0,0.0,0.025,3,256,64
45199,16,32,6,1.0,0.0,0.025,3,256,128
45200,16,32,6,1.0,0.0,0.025,3,256,256
45201,16,32,6,1.0,0.0,0.025,3,512,64
45202,16,32,6,1.0,0.0,0.025,3,512,128
45203,16,32,6,1.0,0.0,0.025,3,512,256
45204,16,32,6,1.0,0.0,0.025,3,1024,64
45205,16,32,6,1.0,0.0,0.025,3,1024,128
45206,16,32,6,1.0,0.0,0.025,3,1024,256
45207,16,32,6,1.0,0.0,0.025,4,256,64
45208,16,32,6,1.0,0.0,0.025,4,256,128
45209,16,32,6,1.0,0.0,0.025,4,256,256
45210,16,32,6,1.0,0.0,0.025,4,512,64
45211,16,32,6,1.0,0.0,0.025,4,512,128
45212,16,32,6,1.0,0.0,0.025,4,512,256
45213,16,32,6,1.0,0.0,0.025,4,1024,64
45214,16,32,6,1.0,0.0,0.025,4,1024,128
45215,16,32,6,1.0,0.0,0.025,4,1024,256
45216,16,32,6,1.0,0.0,0.025,5,256,64
45217,16,32,6,1.0,0.0,0.025,5,256,128
45218,16,32,6,1.0,0.0,0.025,5,256,256
45219,16,32,6,1.0,0.0,0.025,5,512,64
45220,16,32,6,1.0,0.0,0.025,5,512,128
45221,16,32,6,1.0,0.0,0.025,5,512,256
