combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
405000,64,48,5,1.0,0.0,0.005,1,256,64
405001,64,48,5,1.0,0.0,0.005,1,256,128
405002,64,48,5,1.0,0.0,0.005,1,256,256
405003,64,48,5,1.0,0.0,0.005,1,512,64
405004,64,48,5,1.0,0.0,0.005,1,512,128
405005,64,48,5,1.0,0.0,0.005,1,512,256
405006,64,48,5,1.0,0.0,0.005,1,1024,64
405007,64,48,5,1.0,0.0,0.005,1,1024,128
405008,64,48,5,1.0,0.0,0.005,1,1024,256
405009,64,48,5,1.0,0.0,0.005,2,256,64
405010,64,48,5,1.0,0.0,0.005,2,256,128
405011,64,48,5,1.0,0.0,0.005,2,256,256
405012,64,48,5,1.0,0.0,0.005,2,512,64
405013,64,48,5,1.0,0.0,0.005,2,512,128
405014,64,48,5,1.0,0.0,0.005,2,512,256
405015,64,48,5,1.0,0.0,0.005,2,1024,64
405016,64,48,5,1.0,0.0,0.005,2,1024,128
405017,64,48,5,1.0,0.0,0.005,2,1024,256
405018,64,48,5,1.0,0.0,0.005,3,256,64
405019,64,48,5,1.0,0.0,0.005,3,256,128
405020,64,48,5,1.0,0.0,0.005,3,256,256
405021,64,48,5,1.0,0.0,0.005,3,512,64
405022,64,48,5,1.0,0.0,0.005,3,512,128
405023,64,48,5,1.0,0.0,0.005,3,512,256
405024,64,48,5,1.0,0.0,0.005,3,1024,64
405025,64,48,5,1.0,0.0,0.005,3,1024,128
405026,64,48,5,1.0,0.0,0.005,3,1024,256
405027,64,48,5,1.0,0.0,0.005,4,256,64
405028,64,48,5,1.0,0.0,0.005,4,256,128
405029,64,48,5,1.0,0.0,0.005,4,256,256
405030,64,48,5,1.0,0.0,0.005,4,512,64
405031,64,48,5,1.0,0.0,0.005,4,512,128
405032,64,48,5,1.0,0.0,0.005,4,512,256
405033,64,48,5,1.0,0.0,0.005,4,1024,64
405034,64,48,5,1.0,0.0,0.005,4,1024,128
405035,64,48,5,1.0,0.0,0.005,4,1024,256
405036,64,48,5,1.0,0.0,0.005,5,256,64
405037,64,48,5,1.0,0.0,0.005,5,256,128
405038,64,48,5,1.0,0.0,0.005,5,256,256
405039,64,48,5,1.0,0.0,0.005,5,512,64
405040,64,48,5,1.0,0.0,0.005,5,512,128
405041,64,48,5,1.0,0.0,0.005,5,512,256
405042,64,48,5,1.0,0.0,0.005,5,1024,64
405043,64,48,5,1.0,0.0,0.005,5,1024,128
405044,64,48,5,1.0,0.0,0.005,5,1024,256
405045,64,48,5,1.0,0.0,0.01,1,256,64
405046,64,48,5,1.0,0.0,0.01,1,256,128
405047,64,48,5,1.0,0.0,0.01,1,256,256
405048,64,48,5,1.0,0.0,0.01,1,512,64
405049,64,48,5,1.0,0.0,0.01,1,512,128
405050,64,48,5,1.0,0.0,0.01,1,512,256
405051,64,48,5,1.0,0.0,0.01,1,1024,64
405052,64,48,5,1.0,0.0,0.01,1,1024,128
405053,64,48,5,1.0,0.0,0.01,1,1024,256
405054,64,48,5,1.0,0.0,0.01,2,256,64
405055,64,48,5,1.0,0.0,0.01,2,256,128
405056,64,48,5,1.0,0.0,0.01,2,256,256
405057,64,48,5,1.0,0.0,0.01,2,512,64
405058,64,48,5,1.0,0.0,0.01,2,512,128
405059,64,48,5,1.0,0.0,0.01,2,512,256
405060,64,48,5,1.0,0.0,0.01,2,1024,64
405061,64,48,5,1.0,0.0,0.01,2,1024,128
405062,64,48,5,1.0,0.0,0.01,2,1024,256
405063,64,48,5,1.0,0.0,0.01,3,256,64
405064,64,48,5,1.0,0.0,0.01,3,256,128
405065,64,48,5,1.0,0.0,0.01,3,256,256
405066,64,48,5,1.0,0.0,0.01,3,512,64
405067,64,48,5,1.0,0.0,0.01,3,512,128
405068,64,48,5,1.0,0.0,0.01,3,512,256
405069,64,48,5,1.0,0.0,0.01,3,1024,64
405070,64,48,5,1.0,0.0,0.01,3,1024,128
405071,64,48,5,1.0,0.0,0.01,3,1024,256
405072,64,48,5,1.0,0.0,0.01,4,256,64
405073,64,48,5,1.0,0.0,0.01,4,256,128
405074,64,48,5,1.0,0.0,0.01,4,256,256
405075,64,48,5,1.0,0.0,0.01,4,512,64
405076,64,48,5,1.0,0.0,0.01,4,512,128
405077,64,48,5,1.0,0.0,0.01,4,512,256
405078,64,48,5,1.0,0.0,0.01,4,1024,64
405079,64,48,5,1.0,0.0,0.01,4,1024,128
405080,64,48,5,1.0,0.0,0.01,4,1024,256
405081,64,48,5,1.0,0.0,0.01,5,256,64
405082,64,48,5,1.0,0.0,0.01,5,256,128
405083,64,48,5,1.0,0.0,0.01,5,256,256
405084,64,48,5,1.0,0.0,0.01,5,512,64
405085,64,48,5,1.0,0.0,0.01,5,512,128
405086,64,48,5,1.0,0.0,0.01,5,512,256
405087,64,48,5,1.0,0.0,0.01,5,1024,64
405088,64,48,5,1.0,0.0,0.01,5,1024,128
405089,64,48,5,1.0,0.0,0.01,5,1024,256
405090,64,48,5,1.0,0.0,0.015,1,256,64
405091,64,48,5,1.0,0.0,0.015,1,256,128
405092,64,48,5,1.0,0.0,0.015,1,256,256
405093,64,48,5,1.0,0.0,0.015,1,512,64
405094,64,48,5,1.0,0.0,0.015,1,512,128
405095,64,48,5,1.0,0.0,0.015,1,512,256
405096,64,48,5,1.0,0.0,0.015,1,1024,64
405097,64,48,5,1.0,0.0,0.015,1,1024,128
405098,64,48,5,1.0,0.0,0.015,1,1024,256
405099,64,48,5,1.0,0.0,0.015,2,256,64
405100,64,48,5,1.0,0.0,0.015,2,256,128
405101,64,48,5,1.0,0.0,0.015,2,256,256
405102,64,48,5,1.0,0.0,0.015,2,512,64
405103,64,48,5,1.0,0.0,0.015,2,512,128
405104,64,48,5,1.0,0.0,0.015,2,512,256
405105,64,48,5,1.0,0.0,0.015,2,1024,64
405106,64,48,5,1.0,0.0,0.015,2,1024,128
405107,64,48,5,1.0,0.0,0.015,2,1024,256
405108,64,48,5,1.0,0.0,0.015,3,256,64
405109,64,48,5,1.0,0.0,0.015,3,256,128
405110,64,48,5,1.0,0.0,0.015,3,256,256
405111,64,48,5,1.0,0.0,0.015,3,512,64
405112,64,48,5,1.0,0.0,0.015,3,512,128
405113,64,48,5,1.0,0.0,0.015,3,512,256
405114,64,48,5,1.0,0.0,0.015,3,1024,64
405115,64,48,5,1.0,0.0,0.015,3,1024,128
405116,64,48,5,1.0,0.0,0.015,3,1024,256
405117,64,48,5,1.0,0.0,0.015,4,256,64
405118,64,48,5,1.0,0.0,0.015,4,256,128
405119,64,48,5,1.0,0.0,0.015,4,256,256
405120,64,48,5,1.0,0.0,0.015,4,512,64
405121,64,48,5,1.0,0.0,0.015,4,512,128
405122,64,48,5,1.0,0.0,0.015,4,512,256
405123,64,48,5,1.0,0.0,0.015,4,1024,64
405124,64,48,5,1.0,0.0,0.015,4,1024,128
405125,64,48,5,1.0,0.0,0.015,4,1024,256
405126,64,48,5,1.0,0.0,0.015,5,256,64
405127,64,48,5,1.0,0.0,0.015,5,256,128
405128,64,48,5,1.0,0.0,0.015,5,256,256
405129,64,48,5,1.0,0.0,0.015,5,512,64
405130,64,48,5,1.0,0.0,0.015,5,512,128
405131,64,48,5,1.0,0.0,0.015,5,512,256
405132,64,48,5,1.0,0.0,0.015,5,1024,64
405133,64,48,5,1.0,0.0,0.015,5,1024,128
405134,64,48,5,1.0,0.0,0.015,5,1024,256
405135,64,48,5,1.0,0.0,0.02,1,256,64
405136,64,48,5,1.0,0.0,0.02,1,256,128
405137,64,48,5,1.0,0.0,0.02,1,256,256
405138,64,48,5,1.0,0.0,0.02,1,512,64
405139,64,48,5,1.0,0.0,0.02,1,512,128
405140,64,48,5,1.0,0.0,0.02,1,512,256
405141,64,48,5,1.0,0.0,0.02,1,1024,64
405142,64,48,5,1.0,0.0,0.02,1,1024,128
405143,64,48,5,1.0,0.0,0.02,1,1024,256
405144,64,48,5,1.0,0.0,0.02,2,256,64
405145,64,48,5,1.0,0.0,0.02,2,256,128
405146,64,48,5,1.0,0.0,0.02,2,256,256
405147,64,48,5,1.0,0.0,0.02,2,512,64
405148,64,48,5,1.0,0.0,0.02,2,512,128
405149,64,48,5,1.0,0.0,0.02,2,512,256
405150,64,48,5,1.0,0.0,0.02,2,1024,64
405151,64,48,5,1.0,0.0,0.02,2,1024,128
