combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
360000,64,16,7,1.0,0.0,0.005,1,256,64
360001,64,16,7,1.0,0.0,0.005,1,256,128
360002,64,16,7,1.0,0.0,0.005,1,256,256
360003,64,16,7,1.0,0.0,0.005,1,512,64
360004,64,16,7,1.0,0.0,0.005,1,512,128
360005,64,16,7,1.0,0.0,0.005,1,512,256
360006,64,16,7,1.0,0.0,0.005,1,1024,64
360007,64,16,7,1.0,0.0,0.005,1,1024,128
360008,64,16,7,1.0,0.0,0.005,1,1024,256
360009,64,16,7,1.0,0.0,0.005,2,256,64
360010,64,16,7,1.0,0.0,0.005,2,256,128
360011,64,16,7,1.0,0.0,0.005,2,256,256
360012,64,16,7,1.0,0.0,0.005,2,512,64
360013,64,16,7,1.0,0.0,0.005,2,512,128
360014,64,16,7,1.0,0.0,0.005,2,512,256
360015,64,16,7,1.0,0.0,0.005,2,1024,64
360016,64,16,7,1.0,0.0,0.005,2,1024,128
360017,64,16,7,1.0,0.0,0.005,2,1024,256
360018,64,16,7,1.0,0.0,0.005,3,256,64
360019,64,16,7,1.0,0.0,0.005,3,256,128
360020,64,16,7,1.0,0.0,0.005,3,256,256
360021,64,16,7,1.0,0.0,0.005,3,512,64
360022,64,16,7,1.0,0.0,0.005,3,512,128
360023,64,16,7,1.0,0.0,0.005,3,512,256
360024,64,16,7,1.0,0.0,0.005,3,1024,64
360025,64,16,7,1.0,0.0,0.005,3,1024,128
360026,64,16,7,1.0,0.0,0.005,3,1024,256
360027,64,16,7,1.0,0.0,0.005,4,256,64
360028,64,16,7,1.0,0.0,0.005,4,256,128
360029,64,16,7,1.0,0.0,0.005,4,256,256
360030,64,16,7,1.0,0.0,0.005,4,512,64
360031,64,16,7,1.0,0.0,0.005,4,512,128
360032,64,16,7,1.0,0.0,0.005,4,512,256
360033,64,16,7,1.0,0.0,0.005,4,1024,64
360034,64,16,7,1.0,0.0,0.005,4,1024,128
360035,64,16,7,1.0,0.0,0.005,4,1024,256
360036,64,16,7,1.0,0.0,0.005,5,256,64
360037,64,16,7,1.0,0.0,0.005,5,256,128
360038,64,16,7,1.0,0.0,0.005,5,256,256
360039,64,16,7,1.0,0.0,0.005,5,512,64
360040,64,16,7,1.0,0.0,0.005,5,512,128
360041,64,16,7,1.0,0.0,0.005,5,512,256
360042,64,16,7,1.0,0.0,0.005,5,1024,64
360043,64,16,7,1.0,0.0,0.005,5,1024,128
360044,64,16,7,1.0,0.0,0.005,5,1024,256
360045,64,16,7,1.0,0.0,0.01,1,256,64
360046,64,16,7,1.0,0.0,0.01,1,256,128
360047,64,16,7,1.0,0.0,0.01,1,256,256
360048,64,16,7,1.0,0.0,0.01,1,512,64
360049,64,16,7,1.0,0.0,0.01,1,512,128
360050,64,16,7,1.0,0.0,0.01,1,512,256
360051,64,16,7,1.0,0.0,0.01,1,1024,64
360052,64,16,7,1.0,0.0,0.01,1,1024,128
360053,64,16,7,1.0,0.0,0.01,1,1024,256
360054,64,16,7,1.0,0.0,0.01,2,256,64
360055,64,16,7,1.0,0.0,0.01,2,256,128
360056,64,16,7,1.0,0.0,0.01,2,256,256
360057,64,16,7,1.0,0.0,0.01,2,512,64
360058,64,16,7,1.0,0.0,0.01,2,512,128
360059,64,16,7,1.0,0.0,0.01,2,512,256
360060,64,16,7,1.0,0.0,0.01,2,1024,64
360061,64,16,7,1.0,0.0,0.01,2,1024,128
360062,64,16,7,1.0,0.0,0.01,2,1024,256
360063,64,16,7,1.0,0.0,0.01,3,256,64
360064,64,16,7,1.0,0.0,0.01,3,256,128
360065,64,16,7,1.0,0.0,0.01,3,256,256
360066,64,16,7,1.0,0.0,0.01,3,512,64
360067,64,16,7,1.0,0.0,0.01,3,512,128
360068,64,16,7,1.0,0.0,0.01,3,512,256
360069,64,16,7,1.0,0.0,0.01,3,1024,64
360070,64,16,7,1.0,0.0,0.01,3,1024,128
360071,64,16,7,1.0,0.0,0.01,3,1024,256
360072,64,16,7,1.0,0.0,0.01,4,256,64
360073,64,16,7,1.0,0.0,0.01,4,256,128
360074,64,16,7,1.0,0.0,0.01,4,256,256
360075,64,16,7,1.0,0.0,0.01,4,512,64
360076,64,16,7,1.0,0.0,0.01,4,512,128
360077,64,16,7,1.0,0.0,0.01,4,512,256
360078,64,16,7,1.0,0.0,0.01,4,1024,64
360079,64,16,7,1.0,0.0,0.01,4,1024,128
360080,64,16,7,1.0,0.0,0.01,4,1024,256
360081,64,16,7,1.0,0.0,0.01,5,256,64
360082,64,16,7,1.0,0.0,0.01,5,256,128
360083,64,16,7,1.0,0.0,0.01,5,256,256
360084,64,16,7,1.0,0.0,0.01,5,512,64
360085,64,16,7,1.0,0.0,0.01,5,512,128
360086,64,16,7,1.0,0.0,0.01,5,512,256
360087,64,16,7,1.0,0.0,0.01,5,1024,64
360088,64,16,7,1.0,0.0,0.01,5,1024,128
360089,64,16,7,1.0,0.0,0.01,5,1024,256
360090,64,16,7,1.0,0.0,0.015,1,256,64
360091,64,16,7,1.0,0.0,0.015,1,256,128
360092,64,16,7,1.0,0.0,0.015,1,256,256
360093,64,16,7,1.0,0.0,0.015,1,512,64
360094,64,16,7,1.0,0.0,0.015,1,512,128
360095,64,16,7,1.0,0.0,0.015,1,512,256
360096,64,16,7,1.0,0.0,0.015,1,1024,64
360097,64,16,7,1.0,0.0,0.015,1,1024,128
360098,64,16,7,1.0,0.0,0.015,1,1024,256
360099,64,16,7,1.0,0.0,0.015,2,256,64
360100,64,16,7,1.0,0.0,0.015,2,256,128
360101,64,16,7,1.0,0.0,0.015,2,256,256
360102,64,16,7,1.0,0.0,0.015,2,512,64
360103,64,16,7,1.0,0.0,0.015,2,512,128
360104,64,16,7,1.0,0.0,0.015,2,512,256
360105,64,16,7,1.0,0.0,0.015,2,1024,64
360106,64,16,7,1.0,0.0,0.015,2,1024,128
360107,64,16,7,1.0,0.0,0.015,2,1024,256
360108,64,16,7,1.0,0.0,0.015,3,256,64
360109,64,16,7,1.0,0.0,0.015,3,256,128
360110,64,16,7,1.0,0.0,0.015,3,256,256
360111,64,16,7,1.0,0.0,0.015,3,512,64
360112,64,16,7,1.0,0.0,0.015,3,512,128
360113,64,16,7,1.0,0.0,0.015,3,512,256
360114,64,16,7,1.0,0.0,0.015,3,1024,64
360115,64,16,7,1.0,0.0,0.015,3,1024,128
360116,64,16,7,1.0,0.0,0.015,3,1024,256
360117,64,16,7,1.0,0.0,0.015,4,256,64
360118,64,16,7,1.0,0.0,0.015,4,256,128
360119,64,16,7,1.0,0.0,0.015,4,256,256
360120,64,16,7,1.0,0.0,0.015,4,512,64
360121,64,16,7,1.0,0.0,0.015,4,512,128
360122,64,16,7,1.0,0.0,0.015,4,512,256
360123,64,16,7,1.0,0.0,0.015,4,1024,64
