combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
180000,32,48,5,1.0,0.0,0.005,1,256,64
180001,32,48,5,1.0,0.0,0.005,1,256,128
180002,32,48,5,1.0,0.0,0.005,1,256,256
180003,32,48,5,1.0,0.0,0.005,1,512,64
180004,32,48,5,1.0,0.0,0.005,1,512,128
180005,32,48,5,1.0,0.0,0.005,1,512,256
180006,32,48,5,1.0,0.0,0.005,1,1024,64
180007,32,48,5,1.0,0.0,0.005,1,1024,128
180008,32,48,5,1.0,0.0,0.005,1,1024,256
180009,32,48,5,1.0,0.0,0.005,2,256,64
180010,32,48,5,1.0,0.0,0.005,2,256,128
180011,32,48,5,1.0,0.0,0.005,2,256,256
180012,32,48,5,1.0,0.0,0.005,2,512,64
180013,32,48,5,1.0,0.0,0.005,2,512,128
180014,32,48,5,1.0,0.0,0.005,2,512,256
180015,32,48,5,1.0,0.0,0.005,2,1024,64
180016,32,48,5,1.0,0.0,0.005,2,1024,128
180017,32,48,5,1.0,0.0,0.005,2,1024,256
180018,32,48,5,1.0,0.0,0.005,3,256,64
180019,32,48,5,1.0,0.0,0.005,3,256,128
180020,32,48,5,1.0,0.0,0.005,3,256,256
180021,32,48,5,1.0,0.0,0.005,3,512,64
180022,32,48,5,1.0,0.0,0.005,3,512,128
180023,32,48,5,1.0,0.0,0.005,3,512,256
180024,32,48,5,1.0,0.0,0.005,3,1024,64
180025,32,48,5,1.0,0.0,0.005,3,1024,128
180026,32,48,5,1.0,0.0,0.005,3,1024,256
180027,32,48,5,1.0,0.0,0.005,4,256,64
180028,32,48,5,1.0,0.0,0.005,4,256,128
180029,32,48,5,1.0,0.0,0.005,4,256,256
180030,32,48,5,1.0,0.0,0.005,4,512,64
180031,32,48,5,1.0,0.0,0.005,4,512,128
180032,32,48,5,1.0,0.0,0.005,4,512,256
180033,32,48,5,1.0,0.0,0.005,4,1024,64
180034,32,48,5,1.0,0.0,0.005,4,1024,128
180035,32,48,5,1.0,0.0,0.005,4,1024,256
180036,32,48,5,1.0,0.0,0.005,5,256,64
180037,32,48,5,1.0,0.0,0.005,5,256,128
180038,32,48,5,1.0,0.0,0.005,5,256,256
180039,32,48,5,1.0,0.0,0.005,5,512,64
180040,32,48,5,1.0,0.0,0.005,5,512,128
180041,32,48,5,1.0,0.0,0.005,5,512,256
180042,32,48,5,1.0,0.0,0.005,5,1024,64
180043,32,48,5,1.0,0.0,0.005,5,1024,128
180044,32,48,5,1.0,0.0,0.005,5,1024,256
180045,32,48,5,1.0,0.0,0.01,1,256,64
180046,32,48,5,1.0,0.0,0.01,1,256,128
180047,32,48,5,1.0,0.0,0.01,1,256,256
180048,32,48,5,1.0,0.0,0.01,1,512,64
180049,32,48,5,1.0,0.0,0.01,1,512,128
180050,32,48,5,1.0,0.0,0.01,1,512,256
180051,32,48,5,1.0,0.0,0.01,1,1024,64
180052,32,48,5,1.0,0.0,0.01,1,1024,128
180053,32,48,5,1.0,0.0,0.01,1,1024,256
180054,32,48,5,1.0,0.0,0.01,2,256,64
180055,32,48,5,1.0,0.0,0.01,2,256,128
180056,32,48,5,1.0,0.0,0.01,2,256,256
180057,32,48,5,1.0,0.0,0.01,2,512,64
180058,32,48,5,1.0,0.0,0.01,2,512,128
180059,32,48,5,1.0,0.0,0.01,2,512,256
180060,32,48,5,1.0,0.0,0.01,2,1024,64
180061,32,48,5,1.0,0.0,0.01,2,1024,128
180062,32,48,5,1.0,0.0,0.01,2,1024,256
180063,32,48,5,1.0,0.0,0.01,3,256,64
180064,32,48,5,1.0,0.0,0.01,3,256,128
180065,32,48,5,1.0,0.0,0.01,3,256,256
180066,32,48,5,1.0,0.0,0.01,3,512,64
180067,32,48,5,1.0,0.0,0.01,3,512,128
180068,32,48,5,1.0,0.0,0.01,3,512,256
180069,32,48,5,1.0,0.0,0.01,3,1024,64
180070,32,48,5,1.0,0.0,0.01,3,1024,128
180071,32,48,5,1.0,0.0,0.01,3,1024,256
180072,32,48,5,1.0,0.0,0.01,4,256,64
180073,32,48,5,1.0,0.0,0.01,4,256,128
180074,32,48,5,1.0,0.0,0.01,4,256,256
180075,32,48,5,1.0,0.0,0.01,4,512,64
180076,32,48,5,1.0,0.0,0.01,4,512,128
180077,32,48,5,1.0,0.0,0.01,4,512,256
180078,32,48,5,1.0,0.0,0.01,4,1024,64
180079,32,48,5,1.0,0.0,0.01,4,1024,128
180080,32,48,5,1.0,0.0,0.01,4,1024,256
180081,32,48,5,1.0,0.0,0.01,5,256,64
180082,32,48,5,1.0,0.0,0.01,5,256,128
180083,32,48,5,1.0,0.0,0.01,5,256,256
180084,32,48,5,1.0,0.0,0.01,5,512,64
180085,32,48,5,1.0,0.0,0.01,5,512,128
180086,32,48,5,1.0,0.0,0.01,5,512,256
180087,32,48,5,1.0,0.0,0.01,5,1024,64
180088,32,48,5,1.0,0.0,0.01,5,1024,128
180089,32,48,5,1.0,0.0,0.01,5,1024,256
180090,32,48,5,1.0,0.0,0.015,1,256,64
180091,32,48,5,1.0,0.0,0.015,1,256,128
180092,32,48,5,1.0,0.0,0.015,1,256,256
180093,32,48,5,1.0,0.0,0.015,1,512,64
180094,32,48,5,1.0,0.0,0.015,1,512,128
180095,32,48,5,1.0,0.0,0.015,1,512,256
180096,32,48,5,1.0,0.0,0.015,1,1024,64
180097,32,48,5,1.0,0.0,0.015,1,1024,128
180098,32,48,5,1.0,0.0,0.015,1,1024,256
180099,32,48,5,1.0,0.0,0.015,2,256,64
180100,32,48,5,1.0,0.0,0.015,2,256,128
180101,32,48,5,1.0,0.0,0.015,2,256,256
180102,32,48,5,1.0,0.0,0.015,2,512,64
180103,32,48,5,1.0,0.0,0.015,2,512,128
180104,32,48,5,1.0,0.0,0.015,2,512,256
180105,32,48,5,1.0,0.0,0.015,2,1024,64
180106,32,48,5,1.0,0.0,0.015,2,1024,128
180107,32,48,5,1.0,0.0,0.015,2,1024,256
180108,32,48,5,1.0,0.0,0.015,3,256,64
180109,32,48,5,1.0,0.0,0.015,3,256,128
180110,32,48,5,1.0,0.0,0.015,3,256,256
180111,32,48,5,1.0,0.0,0.015,3,512,64
180112,32,48,5,1.0,0.0,0.015,3,512,128
180113,32,48,5,1.0,0.0,0.015,3,512,256
180114,32,48,5,1.0,0.0,0.015,3,1024,64
180115,32,48,5,1.0,0.0,0.015,3,1024,128
180116,32,48,5,1.0,0.0,0.015,3,1024,256
180117,32,48,5,1.0,0.0,0.015,4,256,64
180118,32,48,5,1.0,0.0,0.015,4,256,128
180119,32,48,5,1.0,0.0,0.015,4,256,256
180120,32,48,5,1.0,0.0,0.015,4,512,64
180121,32,48,5,1.0,0.0,0.015,4,512,128
180122,32,48,5,1.0,0.0,0.015,4,512,256
180123,32,48,5,1.0,0.0,0.015,4,1024,64
180124,32,48,5,1.0,0.0,0.015,4,1024,128
180125,32,48,5,1.0,0.0,0.015,4,1024,256
180126,32,48,5,1.0,0.0,0.015,5,256,64
180127,32,48,5,1.0,0.0,0.015,5,256,128
180128,32,48,5,1.0,0.0,0.015,5,256,256
180129,32,48,5,1.0,0.0,0.015,5,512,64
180130,32,48,5,1.0,0.0,0.015,5,512,128
180131,32,48,5,1.0,0.0,0.015,5,512,256
180132,32,48,5,1.0,0.0,0.015,5,1024,64
180133,32,48,5,1.0,0.0,0.015,5,1024,128
180134,32,48,5,1.0,0.0,0.015,5,1024,256
180135,32,48,5,1.0,0.0,0.02,1,256,64
180136,32,48,5,1.0,0.0,0.02,1,256,128
180137,32,48,5,1.0,0.0,0.02,1,256,256
180138,32,48,5,1.0,0.0,0.02,1,512,64
180139,32,48,5,1.0,0.0,0.02,1,512,128
180140,32,48,5,1.0,0.0,0.02,1,512,256
180141,32,48,5,1.0,0.0,0.02,1,1024,64
180142,32,48,5,1.0,0.0,0.02,1,1024,128
180143,32,48,5,1.0,0.0,0.02,1,1024,256
180144,32,48,5,1.0,0.0,0.02,2,256,64
180145,32,48,5,1.0,0.0,0.02,2,256,128
180146,32,48,5,1.0,0.0,0.02,2,256,256
180147,32,48,5,1.0,0.0,0.02,2,512,64
180148,32,48,5,1.0,0.0,0.02,2,512,128
180149,32,48,5,1.0,0.0,0.02,2,512,256
180150,32,48,5,1.0,0.0,0.02,2,1024,64
180151,32,48,5,1.0,0.0,0.02,2,1024,128
180152,32,48,5,1.0,0.0,0.02,2,1024,256
180153,32,48,5,1.0,0.0,0.02,3,256,64
